id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41053170	10.2307/41053170	Stone Tool Research at the End of the Millennium: Procurement and Technology	George H. Odell	Journal of Archaeological Research	8	4	2000-12-01T00:00:00Z	pp. 269-331	Springer	fla		The literature of stone tool procurement and technology published in the past decade is reviewed in this article. The presentation attempts to be geographically comprehensive but, because of where it was written, it provides fuller coverage of New World publications, particularly those from North America, than of literature from the rest of the world. Topics covered include raw materials and procurement, flake experimentation, technology, and specific tool types. An article in a subsequent issue of this journal will discuss issues of function, behavior, and classification in lithic analysis.	
10.2307/41053126	10.2307/41053126	West Indian Archaeology. 3. Ceramic Age	William F. Keegan	Journal of Archaeological Research	8	2	2000-06-01T00:00:00Z	pp. 135-167	Springer	fla		Irving Rouse once calculated that more than 90% of all pre-Columbian artifacts from the West Indies are made of clay. It should, therefore, come as no surprise that the vast majority of research in the region has focused on the ceramic age cultures. The review begins by considering the early ceramic age peoples whose pottery is classified as part of the Saladoid series. These peoples entered the Antilles about 500 B. C. and settled all of the islands as far north as Puerto Rico. For as yet unknown reasons their northward progress was halted in Puerto Rico for nearly 1000 years. The post-Saladoid cultures of the Lesser Antilles, about whom very little is known, and the so-called “Ostionoid” peoples of the Greater Antilles and Bahama archipelago are discussed next. New, detailed studies of subsistence, settlement patterns, social organization, and iconography are contributing to a richer knowledge of the patterns and processes of cultural evolution in an insular setting.	
10.2307/23018390	10.2307/23018390	Back Matter		Journal of Archaeological Research	18	1	2010-03-01T00:00:00Z			mis			
10.2307/41053266	10.2307/41053266	Historical Archaeology of Indigenous Culture Change in Mesoamerica	Joel W. Palka	Journal of Archaeological Research	17	4	2009-12-01T00:00:00Z	pp. 297-346	Springer	fla		This essay outlines recent archaeological research on post-Columbian (c. A. D. 1500-1925) indigenous sites in Mexico and Central America. Historical archaeology is a growing field in Mesoamerica, and over the last 20 years investigations of native culture change have increased, especially in rural areas. Contemporary research contributes new insights on indigenous responses to Spanish colonization over a long period. This work also is reassessing chronologies and examining the diversity of indigenous behavior from late preconquest to historic times. Indigenous adaptations to culture contact and social change are characterized by three general stages: conquest, colonization, and independence. Although I do draw on other regions, the focus of the article is the Maya area and Central America, where more investigations have taken place.	
10.2307/41053233	10.2307/41053233	The Emergence of Ornaments and Art: An Archaeological Perspective on the Origins of "Behavioral Modernity"	João Zilhão	Journal of Archaeological Research	15	1	2007-03-01T00:00:00Z	pp. 1-54	Springer	fla		The earliest known personal ornaments come from the Middle Stone Age of southern Africa, c. 75,000 years ago, and are associated with anatomically modern humans. In Europe, such items are not recorded until after 45,000 radiocarbon years ago, in Neandertal-associated contexts that significantly predate the earliest evidence, archaeological or paleontological, for the immigration of modern humans; thus, they represent either independent invention or acquisition of the concept by long-distance diffusion, implying in both cases comparable levels of cognitive capability and performance. The emergence of figurative art postdates c. 32,000 radiocarbon years ago, several millennia after the time of Neandertal/modern human contact. These temporal patterns suggest that the emergence of "behavioral modernity" was triggered by demographic and social processes and is not a species-specific phenomenon; a corollary of these conclusions is that the corresponding genetic and cognitive basis must have been present in the genus Homo before the evolutionary split between the Neandertal and modern human lineages.	
10.2307/41053093	10.2307/41053093	Front Matter		Journal of Archaeological Research	2	4	1994-12-01T00:00:00Z		Springer	mis			
10.2307/41053246	10.2307/41053246	The Archaeology of Regions: From Discrete Analytical Toolkit to Ubiquitous Spatial Perspective	John Kantner	Journal of Archaeological Research	16	1	2008-03-01T00:00:00Z	pp. 37-81	Springer	fla		In the 1970s and 1980s, regional analysis was an influential part of archaeological research, providing a discrete set of geographical tools inspired by a processual epistemological and interpretive perspective. With the advent of new technologies, new methods, and new paradigms, archaeological research on regional space has undergone significant changes. This article reviews the state of regional archaeology, beginning with a consideration of its history and a discussion of the fundamental issues facing regional investigations before focusing on developments over the last several years. On one hand, the diversification of archaeological theory has created new paradigms for thinking about human relationships with one another and with the physical environment across regional space; in this regard, historical ecology, landscape archaeology, and evolutionary theory have been particularly influential in recent years. This has led to a corresponding diversification of the traditional methods of regional analysis. Most notably, the advent of powerful digital technologies has introduced new tools, especially those from the geographic information sciences, that build on the quantitative methods of past approaches. The investigation of regional data is no longer based on a discrete toolkit of simple mathematical and graphical procedures for representing spatial relationships. Instead, regional archaeology has matured into a diversity of multiscalar spatial and geostatistical techniques that inform many areas of archaeological inquiry.	
10.2307/41053212	10.2307/41053212	Front Matter		Journal of Archaeological Research	12	4	2004-12-01T00:00:00Z		Springer	mis			
10.2307/23018395	10.2307/23018395	Front Matter		Journal of Archaeological Research	18	3	2010-09-01T00:00:00Z			mis			
10.2307/41053154	10.2307/41053154	Quantitative Methods in Archaeology: A Review of Recent Trends and Developments	Mark Aldenderfer	Journal of Archaeological Research	6	2	1998-06-01T00:00:00Z	pp. 91-120	Springer	fla		This paper reviews recent developments in the application of quantitative methods to archaeological research and focuses upon three major themes: the development of so-called designer methods, which are quantitative methods created to solve specific problems; the resurgence of whole-society modeling through a variety of formal and mathematical approaches; and trends in the the teaching of quantitative methods at the undergraduate and graduate levels. Not surprisingly, different subfields have had greater success than others in the development of useful methods, and the causes of this are explored. Finally, suggestions for improving training in the use of these methods are offered.	
