WORDCOUNTS,WEIGHT
the,656
of,354
in,289
and,263
to,181
a,153
that,97
new,83
archaeology,82
d,72
northeast,68
ontario,67
has,65
is,64
j,63
s,55
for,54
iroquoian,54
by,53
man,52
on,50
archaeological,49
c,48
r,47
at,43
york,41
this,41
as,39
iroquois,38
sites,35
from,34
i,33
g,32
have,32
are,32
be,32
no,31
snow,31
m,30
p,30
research,30
been,30
it,29
were,29
southern,27
site,26
pp,25
was,24
society,24
more,24
archaeologists,23
w,23
england,22
iroquoians,22
culture,22
village,21
american,21
eastern,21
university,21
n,21
work,21
owasco,21
e,20
century,20
l,20
lawrence,20
with,20
canada,19
eds,19
some,18
an,18
f,18
or,18
ellis,18
they,17
history,17
b,17
their,17
ferris,17
these,17
publication,17
recent,17
tradition,16
occasional,16
chapter,16
london,16
which,16
northern,16
there,15
into,15
regional,15
northeastern,14
about,14
also,14
not,14
much,14
models,14
chapdelaine,13
other,13
state,13
may,13
study,13
but,13
pennsylvania,13
trade,13
early,13
canadian,13
h,12
than,12
prehistoric,12
part,12
region,12
erie,12
any,12
paper,12
historical,12
press,12
area,12
valley,12
iroquoia,11
u,11
point,11
population,11
white,11
saint,11
example,11
middle,11
t,11
st,11
museum,11
pendergast,11
lake,11
hypothesis,11
one,10
western,10
sixteenth,10
development,10
journal,10
mohawk,10
clemson,10
river,10
late,10
however,10
island,10
settlement,10
around,10
patterns,10
known,10
between,10
north,10
case,9
interior,9
review,9
nation,9
woodland,9
presented,9
meetings,9
maritimes,9
years,9
evidence,9
might,8
basin,8
fitzgerald,8
such,8
prehistory,8
most,8
problems,8
onondaga,8
data,8
people,8
both,8
ramsden,8
contact,8
ed,8
two,8
time,8
seventeenth,8
controlling,8
use,8
processes,8
can,8
we,8
often,8
ritchie,8
league,8
through,8
association,8
huron,7
first,7
situ,7
phase,7
developments,7
neutral,7
age,7
important,7
out,7
massawomecks,7
et,7
project,7
few,7
villages,7
nations,7
will,7
increasingly,7
efforts,7
ceramic,7
types,7
dissertation,7
over,7
current,7
became,7
later,6
large,6
studies,6
implications,6
seneca,6
warrick,6
montreal,6
unpublished,6
interest,6
bay,6
quebec,6
earlier,6
established,6
peninsula,6
because,6
well,6
county,6
related,6
during,6
own,6
pottery,6
doctoral,6
make,6
k,6
same,6
wetlands,6
many,6
end,6
v,6
model,6
where,6
sequence,6
discontinuity,6
radiocarbon,6
period,6
ethnohistory,6
european,6
science,6
who,6
analysis,6
sénecas,6
several,6
here,6
anthropology,6
pickering,6
beginning,6
them,6
while,6
bradley,6
although,6
nicholas,5
if,5
likely,5
ways,5
before,5
migration,5
long,5
within,5
along,5
excavations,5
meyer,5
ai,5
dates,5
even,5
glen,5
contributions,5
observations,5
stewart,5
decades,5
had,5
effort,5
focused,5
recently,5
wright,5
jamieson,5
my,5
change,5
least,5
monongahela,5
when,5
turgeon,5
still,5
yet,5
continuity,5
indian,5
only,5
conceived,5
algonquian,5
perhaps,5
native,5
bulletin,5
upon,5
hypotheses,5
largely,5
ny,5
attention,5
continues,5
sempowski,5
just,5
researchers,5
little,5
rochester,5
indians,5
susquehanna,5
remains,5
trigger,5
kuhn,5
introduction,4
center,4
pipes,4
being,4
way,4
differences,4
papers,4
prezzano,4
vol,4
prior,4
ball,4
horticulturalists,4
thus,4
since,4
refer,4
syracuse,4
apr,4
archaeologist,4
niagara,4
developed,4
similar,4
importance,4
scattered,4
upper,4
linguistics,4
dc,4
cultural,4
michigan,4
technical,4
its,4
used,4
predictive,4
peterson,4
next,4
contrast,4
small,4
smithsonian,4
maine,4
up,4
world,4
preliminary,4
various,4
indeed,4
albany,4
once,4
chronology,4
home,4
issues,4
toward,4
crm,4
scholars,4
documents,4
saunders,4
larger,4
made,4
discovery,4
europeans,4
dating,4
historic,4
dominated,4
like,4
revised,4
exchange,4
equivalent,4
professional,4
hasenstab,4
directions,4
why,4
centuries,4
specialized,4
iii,4
very,4
chesapeake,4
what,4
come,4
washington,4
engelbrecht,4
debate,4
interaction,4
major,4
difficult,3
currently,3
pittsburgh,3
alone,3
speakers,3
complex,3
either,3
meaning,3
all,3
seems,3
together,3
able,3
date,3
somewhat,3
framework,3
